Exercise,Set,Rep,Weight,Metric,Set RPE,Tags,Workout Start Time,Rest Time,Avg Velocity (m/s),Range of Motion (mm),Peak Velocity (m/s),Peak Velocity Location (%),Duration of rep (sec)
"deadlift",1,1,"60","kgs","","warmup","03/03/2023 18:43:16","00:00:00",0.71,556,1.33,400,0.778
"deadlift",1,2,"60","kgs","","warmup","03/03/2023 18:43:16","00:00:00",0.74,551,1.32,283,0.745
"deadlift",1,3,"60","kgs","","warmup","03/03/2023 18:43:16","00:00:00",0.79,555,1.39,286,0.706
"deadlift",1,4,"60","kgs","","warmup","03/03/2023 18:43:16","00:00:00",0.85,571,1.52,320,0.672
"deadlift",1,5,"60","kgs","","warmup","03/03/2023 18:43:16","00:00:00",0.81,559,1.42,325,0.691
"deadlift",2,1,"100","kgs","","warmup,quadruple","03/03/2023 18:43:16","00:05:22.0",0.61,534,1.15,312,0.875
"deadlift",2,2,"100","kgs","","warmup,quadruple","03/03/2023 18:43:16","00:05:22.0",0.56,536,1.07,337,0.962
"deadlift",2,3,"100","kgs","","warmup,quadruple","03/03/2023 18:43:16","00:05:22.0",0.64,540,1.15,313,0.844
"deadlift",2,4,"100","kgs","","warmup,quadruple","03/03/2023 18:43:16","00:05:22.0",0.62,529,1.12,322,0.849
"deadlift",3,1,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:14.0",0.41,549,0.78,345,1.336
"deadlift",3,2,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:14.0",0.40,544,0.69,345,1.366
"deadlift",3,3,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:14.0",0.32,539,0.72,338,1.685
"deadlift",3,4,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:14.0",0.34,542,0.67,325,1.605
"deadlift",4,1,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:11:06.0",0.40,522,0.72,326,1.308
"deadlift",4,2,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:11:06.0",0.38,534,0.74,336,1.418
"deadlift",4,3,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:11:06.0",0.31,516,0.62,314,1.663
"deadlift",4,4,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:11:06.0",0.29,500,0.59,256,1.698
"deadlift",5,1,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:05:17.8",0.35,527,0.63,344,1.506
"deadlift",5,2,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:05:17.8",0.36,523,0.64,343,1.468
"deadlift",5,3,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:05:17.8",0.34,521,0.59,264,1.515
"deadlift",5,4,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:05:17.8",0.35,512,0.68,330,1.44
"deadlift",6,1,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:40.9",0.38,514,0.66,310,1.342
"deadlift",6,2,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:40.9",0.30,521,0.55,388,1.761
"deadlift",6,3,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:40.9",0.33,513,0.69,322,1.565
"deadlift",6,4,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:06:40.9",0.33,500,0.62,299,1.498
"deadlift",7,1,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:07:01.6",0.32,534,0.58,336,1.657
"deadlift",7,2,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:07:01.6",0.33,542,0.60,336,1.631
"deadlift",7,3,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:07:01.6",0.36,520,0.66,339,1.423
"deadlift",7,4,"140","kgs","6","topset,quadruple","03/03/2023 18:43:16","00:07:01.6",0.35,545,0.60,328,1.562
"close grip bench",1,1,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.25,189,0.41,124,0.752
"close grip bench",1,2,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.32,202,0.55,133,0.623
"close grip bench",1,3,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.34,206,0.66,121,0.606
"close grip bench",1,4,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.35,217,0.62,143,0.612
"close grip bench",1,5,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.18,249,0.39,163,1.391
"close grip bench",1,6,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.33,249,0.52,142,0.762
"close grip bench",1,7,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.32,258,0.52,165,0.818
"close grip bench",1,8,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.38,237,0.58,162,0.621
"close grip bench",1,9,null,"kgs","","bug","03/03/2023 18:43:16","00:11:53.4",0.34,238,0.52,137,0.696
"close grip bench",2,1,"60","kgs","","warmup,septuple ","03/03/2023 18:43:16","00:05:56.7",0.27,204,0.43,112,0.764
"close grip bench",2,2,"60","kgs","","warmup,septuple ","03/03/2023 18:43:16","00:05:56.7",0.26,191,0.36,92,0.728
"close grip bench",2,3,"60","kgs","","warmup,septuple ","03/03/2023 18:43:16","00:05:56.7",0.26,219,0.45,142,0.838
"close grip bench",2,4,"60","kgs","","warmup,septuple ","03/03/2023 18:43:16","00:05:56.7",0.22,208,0.40,129,0.938
"close grip bench",2,5,"60","kgs","","warmup,septuple ","03/03/2023 18:43:16","00:05:56.7",0.28,221,0.45,143,0.801
